id;acronym;name;description;customer_business_code;business_handler_clazz;main_contact_person_details_json;billing_details_json;technical_environments_details_json;custom_attributes_details_json;logo_img;logo_img_content_type;activation_status
1;composer;bashfully;indeed meanwhile;ugh psst;snivel;before viciously;silky;possible way definitive;the regarding wherever;../fake-data/blob/hipster.png;image/png;PENDENT
2;meanwhile;graft;kiosk silently;sock;anesthetize if outstay;whenever;smug versus mammoth;hot incline closely;astrologer;../fake-data/blob/hipster.png;image/png;ACTIVE
3;beatboxer;browse qualified;helpfully miscast integer;vastly ouch mid;downtown;yowza knowingly squeegee;operator bah blah;woot;questioningly along;../fake-data/blob/hipster.png;image/png;PENDENT
4;thoughtfully;softly past huzzah;sturdy;whenever tower ;immediately devastate until;unto;known into;absentmindedly;shingle mimosa boldly;../fake-data/blob/hipster.png;image/png;BLOCKED
5;consequently aw;whether readily behind;use;excitable quick;succumb wildly version;aromatic than tackle;by;than troubled;vivid supposing;../fake-data/blob/hipster.png;image/png;INACTIVE
6;sidestep baggy;ouch;backfire aw;phooey;yowza quietly;decode whose;brighten bookmark;supposing save;indeed geez westernise;../fake-data/blob/hipster.png;image/png;ON_HOLD
7;enchant until;although great-grandfather traffic;aperitif;dual ack;minty excepting;pfft by embellishment;comfortable;scared school;fruitful;../fake-data/blob/hipster.png;image/png;BLOCKED
8;heart intensely even;doubtfully until pfft;carabao supposing those;alongside close;foreshadow;cellar;plump yum;who;circle;../fake-data/blob/hipster.png;image/png;INACTIVE
9;denude consequently ;gadzooks;save ick;cardboard cackl;ouch;yowza mechanise;gently for;how raw profuse;traumatic reliability;../fake-data/blob/hipster.png;image/png;INACTIVE
10;hug chase about;decline decryption;whether anenst karate;stunning zowie ;or however consequently;minus;nor;proposal daintily complicity;elegantly pish during;../fake-data/blob/hipster.png;image/png;PENDENT
