id;acronym;business_code;hierarchical_level;name;description;business_handler_clazz;main_contact_person_details_json;technical_environments_details_json;custom_attributes_details_json;organization_status;activation_status;logo_img;logo_img_content_type;tenant_id;type_of_organization_id
1;like unhitch;bulk amongst;back;scripture calico;abaft but finally;now cat manhunt;friendly although;among apprehensive;tremendously state;PENDENT;PENDENT;../fake-data/blob/hipster.png;image/png;1;1
2;nor;shelf;woozy kosher;rarely;understated huzzah;libel mmm closely;unlike puny shakily;inside brightly than;although multicolored;UNDER_EVALUATION;INVALID;../fake-data/blob/hipster.png;image/png;2;2
3;along parch;surprisingly ha;yuck encircle;warmly brr roughly;fast for sickness;nauseate canine likewise;lest organic safely;why;favorite ambitious to;ONBOARDING;PENDENT;../fake-data/blob/hipster.png;image/png;3;3
4;ouch imperturbable;loudly defiantl;helplessly playfully;reprint lopsided;pace;eaglet accrue;limply zowie;irrigate forenenst;regarding;UNDER_EVALUATION;ON_HOLD;../fake-data/blob/hipster.png;image/png;4;4
5;unlucky;sugary shocking;for shame;boohoo with incise;for;mouton keel than;even;frankly poignance seaweed;gah allay enthusiastically;READY_TO_START;INACTIVE;../fake-data/blob/hipster.png;image/png;5;5
6;irritably kiddingly ;inside so unlik;woot furthermore;oh regarding ick;ack;knowledgeably;riddle;scale;blah trusting for;WORKING;INACTIVE;../fake-data/blob/hipster.png;image/png;6;6
7;quietly so duh;boohoo sandy li;fit deliquesce;embellished conventional how;outline viciously;slim whereas hero;until;huzzah usher enable;frightfully intensely down;ONBOARDING;ACTIVE;../fake-data/blob/hipster.png;image/png;7;7
8;gah failing;motion kvetch;meanwhile sans;kissingly soon;boohoo good;woefully;whose mortally aboard;bun computerize well-informed;well-worn adventurously;IN_FAILURE;INACTIVE;../fake-data/blob/hipster.png;image/png;8;8
9;modulo buoyant pfft;out enraged;future intensely;about pun than;happily gray gee;less highly duh;scarily harmful;fooey holiday;clock;ONBOARDING;PENDENT;../fake-data/blob/hipster.png;image/png;9;9
10;although;meanwhile;duh into;scientific tired;peg hastily boldly;close pace;except glum meanwhile;between subordinate poor;defrag so;IN_FAILURE;BLOCKED;../fake-data/blob/hipster.png;image/png;10;10
