id;acronym;name;description;street_address;house_number;location_name;postal_code;geo_polygon_area;geo_polygon_area_content_type;district_id
1;absent hm;following daylight;fraud;along;per since boastfully;phooey narrow gosh;anxiously;../fake-data/blob/hipster.png;image/png;1
2;reliable phew;uncork huzzah;jealously codepage matchmaker;failing;what;because disarm;authentic;../fake-data/blob/hipster.png;image/png;2
3;sneaky;save extremely gladly;city rekindle the;or;whoa;geez hm forwards;opposite ;../fake-data/blob/hipster.png;image/png;3
4;vice outgoing;loyally in;tomorrow and;terribly sublimate;solid;yesterday once poach;glass;../fake-data/blob/hipster.png;image/png;4
5;similar mysteriously;considering whether except;bleakly plaintive annually;continually fooey;yahoo triumphantly r;sleepwalk humiliating frightfully;scan modu;../fake-data/blob/hipster.png;image/png;5
6;searchingly;brr subcomponent;rosin;where bashfully;openly woot ha;memorable yippee dulcimer;frightful;../fake-data/blob/hipster.png;image/png;6
7;harbour;excluding yum fear;quixotic fervently;finally incidentally;triangular owlishly;boohoo;weatheriz;../fake-data/blob/hipster.png;image/png;7
8;circa;through zowie;baa blah;huzzah briefing signal;eek dull;qua;neatly fo;../fake-data/blob/hipster.png;image/png;8
9;feline knowledgeable;but gee because;uh-huh meanwhile provided;sprinkle drat;um circle worriedly;perfectly bassinet dramatic;wherever ;../fake-data/blob/hipster.png;image/png;9
10;so;exactly um duh;incomplete rowboat;textbook;and when;bedroom;zealous;../fake-data/blob/hipster.png;image/png;10
