id;acronym;company_name;street_address;house_number;location_name;city;state_province;zip_postal_code;country_region;point_location;point_location_content_type;main_email;phone_number_1;phone_number_2;custom_attributes_details_json;activation_status;representative_person_id
1;cede;following really shield;huzzah;energetically nor;stimulating;Wisokyville;ah amazing while;grizzled ugh;encash;../fake-data/blob/hipster.png;image/png;"x#cI@fZ3D.ET<1:";along anti alon;mockingly zowie;excluding illiterate;INVALID;1
2;onto although;below;inasmuch part yahoo;if;jumpy without;Lake Vidal;till deeply until;phew;conceptualise;../fake-data/blob/hipster.png;image/png;"0@QmUq8:.kg0/W";hmph unusual be;illustrious mum;yuck;PENDENT;2
3;patronize unfinished;jaded after;hideous until;wicked whoever;knot than;Windlerstad;as scientific average;vicious forcefu;cappuccino delightfully;../fake-data/blob/hipster.png;image/png;"8wFD@R.k'a";yahoo;energetically b;sedately;INVALID;3
4;outside above;crushing formal;aside ew;likewise;boo;Buckridgefurt;wrongly;gee;gah er;../fake-data/blob/hipster.png;image/png;"}FJ@Y.h$";dreamily;conjure yum ret;bugle annex whose;ACTIVE;4
5;kissingly at;failing useless;prise tensely;failing duh provided;sublet during via;Port Arch;socialist;following;slobber helpless defiantly;../fake-data/blob/hipster.png;image/png;"aW$k>]@AjNk.4";gah;typhoon finally;wisely via;INVALID;5
6;er solemnly sympathetically;garage;innovate;deputy amused;spirited anything;Port Elliehaven;hold woot;braise dilute h;until pollution;../fake-data/blob/hipster.png;image/png;"wWOM@&PR~Ja.W,WD";lest waken alth;kindheartedly;tongue;INVALID;6
7;qua dim under;whether the thump;lag;teen neatly unaccept;whose;Port Darioton;optimistically sink astride;oof so ugh;yieldingly until belated;../fake-data/blob/hipster.png;image/png;"/eL2@Dbm.WT";export ah;greatly apropos;tensely double;PENDENT;7
8;whereas considering promptly;pfft vital worriedly;merry meanwhile;wolf brawl;cactus punctually careless;Scotbury;leaker;tankful quicker;next;../fake-data/blob/hipster.png;image/png;"~Z@c(e#6.#ye";blank cheep;explain;repress;ACTIVE;8
9;versus perfection slimy;wiry;pish display detailed;slim worriedly;hm as;West Christville;noir strife;furiously gee m;provided silt;../fake-data/blob/hipster.png;image/png;"i#@fEg.T2iBCl";shakily parking;imagineer artic;beautifully geld;INVALID;9
10;eek parley when;consequently if;ew quaintly boo;even frantically;yowza gadzooks;Fort Deondrefort;consequently;determined till;between spend;../fake-data/blob/hipster.png;image/png;"3@G.Gh";about;scandalize pinw;terracotta lest;INACTIVE;10
